S2501_C01_001E,S2501_C01_002E,S2501_C01_003E,S2501_C01_004E,S2501_C01_005E,FIPS,STATEFP,COUNTYFP,TRACTCE
1272,218,333,109,612,48113015206,48,113,015206
512,66,102,69,275,48113015303,48,113,015303
1180,302,170,160,548,48113015304,48,113,015304
1347,255,337,253,502,48113015305,48,113,015305
1645,402,468,228,547,48113015306,48,113,015306
2784,691,1190,428,475,48113015401,48,113,015401
1195,312,216,430,237,48113015403,48,113,015403
1517,275,334,358,550,48113015404,48,113,015404
1158,236,321,265,336,48113015500,48,113,015500
1489,260,226,231,772,48113015600,48,113,015600
704,91,98,94,421,48113015700,48,113,015700
612,66,163,68,315,48113015800,48,113,015800
1270,348,289,266,367,48113015900,48,113,015900
1363,225,363,260,515,48113016001,48,113,016001
885,202,164,123,396,48113016002,48,113,016002
1518,644,457,191,226,48113016100,48,113,016100
1284,218,402,176,488,48113016201,48,113,016201
2061,533,333,245,950,48113016202,48,113,016202
1931,232,572,301,826,48113016301,48,113,016301
548,28,146,106,268,48113016302,48,113,016302
3332,444,926,513,1449,48113016401,48,113,016401
1619,358,431,189,641,48113016406,48,113,016406
2254,375,477,351,1051,48113016407,48,113,016407
2323,288,724,518,793,48113016408,48,113,016408
1152,210,465,140,337,48113016409,48,113,016409
1532,206,456,387,483,48113016410,48,113,016410
2816,302,934,648,932,48113016411,48,113,016411
1591,227,517,363,484,48113016412,48,113,016412
2204,368,774,347,715,48113016413,48,113,016413
2269,546,696,363,664,48113016502,48,113,016502
1878,301,780,414,383,48113016509,48,113,016509
4702,939,1387,744,1632,48113016510,48,113,016510
1505,318,372,411,404,48113016511,48,113,016511
1794,411,611,278,494,48113016513,48,113,016513
2390,658,783,396,553,48113016514,48,113,016514
1790,617,392,236,545,48113016516,48,113,016516
1641,494,312,288,547,48113016517,48,113,016517
1689,305,557,343,484,48113016518,48,113,016518
774,120,331,140,183,48113016519,48,113,016519
2226,392,477,348,1009,48113016520,48,113,016520
2012,682,437,326,567,48113016521,48,113,016521
1305,419,407,259,220,48113016522,48,113,016522
1751,330,754,343,324,48113016523,48,113,016523
2865,1446,462,337,620,48113016605,48,113,016605
2954,1021,1179,351,403,48113016606,48,113,016606
2047,1213,296,400,138,48113016607,48,113,016607
1978,735,550,453,240,48113016610,48,113,016610
2246,719,578,297,652,48113016611,48,113,016611
4437,726,1412,750,1549,48113016612,48,113,016612
1274,224,277,208,565,48113016615,48,113,016615
1857,277,421,472,687,48113016616,48,113,016616
1497,302,556,380,259,48113016617,48,113,016617
1758,411,534,419,394,48113016618,48,113,016618
1520,578,441,199,302,48113016619,48,113,016619
1980,376,655,419,530,48113016620,48,113,016620
2087,372,694,384,637,48113016621,48,113,016621
1129,146,280,251,452,48113016622,48,113,016622
2107,364,487,499,757,48113016623,48,113,016623
1079,244,211,233,391,48113016624,48,113,016624
3117,488,693,653,1283,48113016625,48,113,016625
1615,484,417,254,460,48113016626,48,113,016626
2504,736,796,217,755,48113016701,48,113,016701
3469,697,976,812,984,48113016703,48,113,016703
1341,312,336,331,362,48113016704,48,113,016704
2602,605,741,578,678,48113016705,48,113,016705
1503,331,435,234,503,48113016802,48,113,016802
2163,501,598,568,496,48113016803,48,113,016803
2829,674,953,530,672,48113016804,48,113,016804
1156,297,299,217,343,48113016902,48,113,016902
1756,451,548,305,452,48113016903,48,113,016903
2450,432,671,447,900,48113017001,48,113,017001
3274,542,700,436,1596,48113017003,48,113,017003
2767,376,497,505,1389,48113017004,48,113,017004
1677,241,328,412,696,48113017101,48,113,017101
1758,173,607,320,658,48113017102,48,113,017102
1503,320,326,205,652,48113017201,48,113,017201
2561,470,761,320,1010,48113017202,48,113,017202
1535,177,312,373,673,48113017301,48,113,017301
2472,383,684,455,950,48113017303,48,113,017303
2741,198,753,459,1331,48113017304,48,113,017304
3152,527,657,708,1260,48113017305,48,113,017305
2268,338,591,361,978,48113017306,48,113,017306
1714,328,459,296,631,48113017400,48,113,017400
1317,238,495,237,347,48113017500,48,113,017500
1153,117,228,245,563,48113017602,48,113,017602
860,172,210,158,320,48113017604,48,113,017604
1121,243,251,244,383,48113017605,48,113,017605
1400,172,298,358,572,48113017606,48,113,017606
2741,698,865,673,505,48113017702,48,113,017702
1654,343,425,279,607,48113017703,48,113,017703
1943,477,414,272,780,48113017704,48,113,017704
2415,599,528,553,735,48113017804,48,113,017804
1971,609,566,372,424,48113017805,48,113,017805
1554,393,407,246,508,48113017806,48,113,017806
2188,885,579,274,450,48113017807,48,113,017807
1515,447,514,280,274,48113017808,48,113,017808
1433,311,442,296,384,48113017811,48,113,017811
749,151,268,108,222,48113017812,48,113,017812
2458,699,669,383,707,48113017813,48,113,017813
1867,368,612,286,601,48113017814,48,113,017814
1417,254,236,245,682,48113017900,48,113,017900
2187,723,504,335,625,48113018001,48,113,018001
957,129,265,119,444,48113018002,48,113,018002
2490,374,767,514,835,48113018104,48,113,018104
1554,101,371,303,779,48113018105,48,113,018105
2070,563,961,244,302,48113018110,48,113,018110
2044,500,383,391,770,48113018111,48,113,018111
2745,447,979,426,893,48113018118,48,113,018118
1483,202,446,308,527,48113018120,48,113,018120
1638,302,438,351,547,48113018121,48,113,018121
5316,870,1071,1314,2061,48113018122,48,113,018122
2979,604,869,561,945,48113018123,48,113,018123
6052,765,1718,1141,2428,48113018124,48,113,018124
2168,472,600,483,613,48113018126,48,113,018126
860,143,274,144,299,48113018127,48,113,018127
1912,426,341,465,680,48113018128,48,113,018128
1789,581,492,316,400,48113018129,48,113,018129
1893,709,550,354,280,48113018130,48,113,018130
1697,383,455,371,488,48113018132,48,113,018132
1403,182,616,277,328,48113018133,48,113,018133
1911,335,721,344,511,48113018134,48,113,018134
1317,280,401,214,422,48113018135,48,113,018135
2885,301,1378,545,661,48113018136,48,113,018136
1356,262,485,188,421,48113018137,48,113,018137
1929,503,646,354,426,48113018138,48,113,018138
3035,443,1060,615,917,48113018139,48,113,018139
2016,257,672,441,646,48113018140,48,113,018140
1743,699,529,202,313,48113018141,48,113,018141
1186,292,323,112,459,48113018142,48,113,018142
1748,197,347,265,939,48113018203,48,113,018203
1073,91,215,196,571,48113018204,48,113,018204
1350,228,479,179,464,48113018205,48,113,018205
1161,182,177,177,625,48113018206,48,113,018206
2018,179,817,422,600,48113018300,48,113,018300
1408,327,260,302,519,48113018401,48,113,018401
1306,235,456,115,500,48113018402,48,113,018402
457,131,138,81,107,48113018403,48,113,018403
1169,211,244,228,486,48113018501,48,113,018501
2865,1304,835,337,389,48113018503,48,113,018503
1874,784,573,197,320,48113018505,48,113,018505
1642,551,624,300,167,48113018506,48,113,018506
1304,369,432,161,342,48113018600,48,113,018600
1870,371,286,469,744,48113018700,48,113,018700
1357,234,208,248,667,48113018801,48,113,018801
501,222,131,61,87,48113018802,48,113,018802
1814,291,513,358,652,48113018900,48,113,018900
2140,464,533,381,762,48113019004,48,113,019004
1648,282,433,385,548,48113019013,48,113,019013
1959,502,237,425,795,48113019014,48,113,019014
1240,406,314,286,234,48113019016,48,113,019016
1891,517,578,339,457,48113019018,48,113,019018
2736,843,533,595,765,48113019019,48,113,019019
2137,537,616,547,437,48113019020,48,113,019020
2384,516,719,387,762,48113019021,48,113,019021
2168,643,737,406,382,48113019023,48,113,019023
1508,263,504,271,470,48113019024,48,113,019024
1567,223,630,319,395,48113019025,48,113,019025
1920,468,566,305,581,48113019026,48,113,019026
1968,571,379,481,537,48113019027,48,113,019027
1137,177,319,277,364,48113019028,48,113,019028
2185,423,678,522,562,48113019029,48,113,019029
2303,552,829,341,581,48113019031,48,113,019031
1072,207,149,251,465,48113019032,48,113,019032
1195,175,314,108,598,48113019033,48,113,019033
2064,797,724,227,316,48113019034,48,113,019034
2336,554,708,347,727,48113019035,48,113,019035
1156,203,490,279,184,48113019036,48,113,019036
1260,197,589,164,310,48113019037,48,113,019037
1009,504,447,45,13,48113019038,48,113,019038
2323,416,726,342,839,48113019039,48,113,019039
2799,940,872,325,662,48113019040,48,113,019040
1179,151,657,166,205,48113019041,48,113,019041
1978,446,788,353,391,48113019042,48,113,019042
2850,452,1183,562,653,48113019043,48,113,019043
2601,723,849,510,519,48113019100,48,113,019100
1840,529,476,308,527,48113019202,48,113,019202
1634,431,620,267,316,48113019203,48,113,019203
2718,402,430,553,1333,48113019204,48,113,019204
1552,202,654,318,378,48113019205,48,113,019205
2541,837,762,306,636,48113019206,48,113,019206
1988,630,357,226,775,48113019208,48,113,019208
1573,300,512,265,496,48113019210,48,113,019210
2337,1017,492,246,582,48113019211,48,113,019211
1108,176,102,272,558,48113019212,48,113,019212
1406,486,372,200,348,48113019213,48,113,019213
996,67,307,148,474,48113019301,48,113,019301
983,200,196,178,409,48113019302,48,113,019302
1733,352,573,335,473,48113019400,48,113,019400
2201,169,668,368,996,48113019501,48,113,019501
1767,354,653,255,505,48113019502,48,113,019502
922,246,362,61,253,48113019600,48,113,019600
787,164,346,64,213,48113019700,48,113,019700
1947,490,740,242,475,48113019800,48,113,019800
1133,149,349,171,464,48113019900,48,113,019900
1692,191,426,454,621,48113020000,48,113,020000
721,171,201,118,231,48113020100,48,113,020100
1483,467,457,325,234,48113020200,48,113,020200
1234,743,291,65,135,48113020300,48,113,020300
3546,1778,1262,428,78,48113020400,48,113,020400
1923,769,309,355,490,48113020500,48,113,020500
857,130,441,91,195,48113020600,48,113,020600
2269,810,780,246,433,48113020700,48,113,020700
0,0,0,0,0,48113980000,48,113,980000
5,0,0,0,5,48113980100,48,113,980100
1632,428,519,303,382,48115950401,48,115,950401
599,147,165,83,204,48115950402,48,115,950402
1550,470,546,262,272,48115950500,48,115,950500
541,168,176,77,120,48115950600,48,115,950600
1942,501,590,324,527,48117950300,48,117,950300
1754,390,502,405,457,48117950400,48,117,950400
1233,296,376,235,326,48117950500,48,117,950500
1216,223,424,200,369,48117950600,48,117,950600
1120,241,496,136,247,48119950100,48,119,950100
879,291,308,91,189,48119950200,48,119,950200
4355,1168,1420,719,1048,48121020103,48,121,020103
2244,221,619,503,901,48121020104,48,121,020104
3922,884,1080,691,1267,48121020105,48,121,020105
2576,430,850,327,969,48121020106,48,121,020106
2854,538,909,506,901,48121020107,48,121,020107
8176,877,1933,1632,3734,48121020108,48,121,020108
2179,246,545,362,1026,48121020109,48,121,020109
1653,122,413,390,728,48121020110,48,121,020110
1165,67,202,233,663,48121020111,48,121,020111
1268,259,328,233,448,48121020112,48,121,020112
4042,450,1406,785,1401,48121020113,48,121,020113
4349,1158,1133,747,1311,48121020114,48,121,020114
2032,370,785,258,619,48121020115,48,121,020115
3100,636,1076,604,784,48121020202,48,121,020202
2061,353,626,441,641,48121020203,48,121,020203
1607,339,616,262,390,48121020204,48,121,020204
661,128,272,88,173,48121020205,48,121,020205
5074,757,1766,1059,1492,48121020303,48,121,020303
2693,393,1073,483,744,48121020305,48,121,020305
2721,871,714,282,854,48121020306,48,121,020306
3961,456,1243,707,1555,48121020307,48,121,020307
3586,418,964,754,1450,48121020308,48,121,020308
4025,691,1527,749,1058,48121020309,48,121,020309
2063,370,1568,49,76,48121020310,48,121,020310
3241,645,1114,549,933,48121020401,48,121,020401
2144,685,693,281,485,48121020402,48,121,020402
1516,480,613,209,214,48121020403,48,121,020403
2488,763,743,426,556,48121020503,48,121,020503
1033,177,247,189,420,48121020504,48,121,020504
2318,460,1013,537,308,48121020505,48,121,020505
643,130,225,98,190,48121020506,48,121,020506
1439,663,464,109,203,48121020601,48,121,020601
3535,746,1245,518,1026,48121020602,48,121,020602
1478,818,476,128,56,48121020700,48,121,020700
1906,483,581,393,449,48121020800,48,121,020800
1080,584,307,150,39,48121020900,48,121,020900
1170,506,366,129,169,48121021000,48,121,021000
1811,1075,569,96,71,48121021100,48,121,021100
2629,955,617,516,541,48121021201,48,121,021201
1178,305,367,176,330,48121021202,48,121,021202
1717,695,580,205,237,48121021301,48,121,021301
2687,651,1098,291,647,48121021303,48,121,021303
2224,577,985,333,329,48121021304,48,121,021304
1499,314,633,312,240,48121021305,48,121,021305
4390,875,1693,650,1172,48121021403,48,121,021403
2787,368,1019,565,835,48121021404,48,121,021404
4055,827,1100,915,1213,48121021405,48,121,021405
2442,355,672,483,932,48121021406,48,121,021406
2318,326,566,538,888,48121021407,48,121,021407
2267,476,750,558,483,48121021408,48,121,021408
2986,350,1137,828,671,48121021409,48,121,021409
1635,453,471,275,436,48121021502,48,121,021502
1958,422,479,418,639,48121021505,48,121,021505
1530,166,609,172,583,48121021512,48,121,021512
1367,206,618,283,260,48121021513,48,121,021513
1457,200,485,261,511,48121021514,48,121,021514
5854,1138,2451,811,1454,48121021515,48,121,021515
2487,429,723,486,849,48121021516,48,121,021516
1982,859,525,407,191,48121021517,48,121,021517
1038,158,437,221,222,48121021518,48,121,021518
4742,1200,1602,1137,803,48121021519,48,121,021519
1325,247,425,239,414,48121021520,48,121,021520
1369,120,590,227,432,48121021521,48,121,021521
1212,204,284,240,484,48121021522,48,121,021522
1301,279,316,326,380,48121021523,48,121,021523
769,144,153,185,287,48121021524,48,121,021524
4612,432,916,797,2467,48121021525,48,121,021525
2453,409,491,573,980,48121021526,48,121,021526
2192,272,469,526,925,48121021527,48,121,021527
1724,354,661,301,408,48121021611,48,121,021611
1478,457,418,226,377,48121021612,48,121,021612
1929,421,637,344,527,48121021613,48,121,021613
1309,228,443,190,448,48121021614,48,121,021614
1530,266,420,212,632,48121021615,48,121,021615
2110,851,662,245,352,48121021616,48,121,021616
1293,193,482,140,478,48121021618,48,121,021618
936,213,250,133,340,48121021619,48,121,021619
1360,553,474,119,214,48121021620,48,121,021620
1302,232,629,146,295,48121021621,48,121,021621
2019,355,546,526,592,48121021622,48,121,021622
2841,679,687,520,955,48121021623,48,121,021623
3021,1105,677,540,699,48121021624,48,121,021624
4846,1554,1257,851,1184,48121021625,48,121,021625
881,105,331,155,290,48121021626,48,121,021626
4677,2742,1246,405,284,48121021627,48,121,021627
2360,787,720,373,480,48121021628,48,121,021628
2246,383,562,351,950,48121021629,48,121,021629
1948,414,703,308,523,48121021630,48,121,021630
1792,271,619,384,518,48121021631,48,121,021631
1583,553,485,312,233,48121021632,48,121,021632
1709,311,692,281,425,48121021633,48,121,021633
3222,2123,587,319,193,48121021634,48,121,021634
2334,873,1011,147,303,48121021635,48,121,021635
4262,2506,990,466,300,48121021636,48,121,021636
1878,883,573,142,280,48121021637,48,121,021637
1754,766,404,263,321,48121021638,48,121,021638
1724,430,567,342,385,48121021715,48,121,021715
1855,705,531,332,287,48121021716,48,121,021716
1927,497,683,211,536,48121021717,48,121,021717
3629,308,1351,582,1388,48121021718,48,121,021718
1655,295,507,267,586,48121021719,48,121,021719
1073,64,279,238,492,48121021720,48,121,021720
1386,126,585,229,446,48121021721,48,121,021721
1685,296,636,314,439,48121021722,48,121,021722
523,131,143,139,110,48121021723,48,121,021723
1340,67,397,287,589,48121021724,48,121,021724
1321,175,484,354,308,48121021725,48,121,021725
1120,92,383,298,347,48121021726,48,121,021726
1660,187,468,382,623,48121021727,48,121,021727
1411,475,392,193,351,48121021728,48,121,021728
1023,151,334,257,281,48121021729,48,121,021729
1222,208,419,170,425,48121021730,48,121,021730
1171,127,493,239,312,48121021731,48,121,021731
848,295,205,171,177,48121021732,48,121,021732
996,231,359,177,229,48121021733,48,121,021733
1583,760,337,216,270,48121021734,48,121,021734
1500,451,548,228,273,48121021735,48,121,021735
1160,447,443,131,139,48121021736,48,121,021736
1801,573,707,205,316,48121021737,48,121,021737
1543,580,492,301,170,48121021738,48,121,021738
1431,560,472,138,261,48121021739,48,121,021739
2049,678,678,360,333,48121021740,48,121,021740
650,161,161,77,251,48121021741,48,121,021741
2038,377,447,551,663,48121021742,48,121,021742
1311,380,315,95,521,48121021743,48,121,021743
994,197,279,265,253,48121021744,48,121,021744
1671,349,328,302,692,48121021745,48,121,021745
1410,123,610,246,431,48121021746,48,121,021746
2127,683,699,203,542,48121021747,48,121,021747
1486,146,637,363,340,48121021748,48,121,021748
1088,51,328,295,414,48121021749,48,121,021749
1439,72,433,251,683,48121021750,48,121,021750
1407,69,286,339,713,48121021751,48,121,021751
1582,105,418,419,640,48121021752,48,121,021752
2349,437,683,508,721,48121021753,48,121,021753
1550,378,725,214,233,48121021800,48,121,021800
1516,121,323,312,760,48121021900,48,121,021900
1562,290,536,117,619,48123970100,48,123,970100
1496,463,484,166,383,48123970200,48,123,970200
1472,343,516,300,313,48123970300,48,123,970300
1496,368,601,156,371,48123970400,48,123,970400
1022,263,473,121,165,48123970500,48,123,970500
845,304,317,93,131,48125950300,48,125,950300
2409,644,701,389,675,48127950200,48,127,950200
739,184,278,101,176,48127950400,48,127,950400
707,320,223,54,110,48129950200,48,129,950200
628,176,269,109,74,48129950300,48,129,950300
1402,344,347,272,439,48131950100,48,131,950100
1012,246,219,276,271,48131950200,48,131,950200
1097,286,414,104,293,48131950500,48,131,950500
1071,502,321,107,141,48133950100,48,133,950100
1989,788,832,157,212,48133950200,48,133,950200
1782,622,680,243,237,48133950300,48,133,950300
706,240,290,94,82,48133950400,48,133,950400
944,339,423,86,96,48133950500,48,133,950500
942,171,353,163,255,48135000100,48,135,000100
570,216,145,84,125,48135000300,48,135,000300
1618,271,426,256,665,48135000400,48,135,000400
1675,472,445,247,511,48135000500,48,135,000500
1775,413,480,304,578,48135000600,48,135,000600
2002,692,601,307,402,48135000700,48,135,000700
1119,345,390,131,253,48135000800,48,135,000800
1801,473,499,241,588,48135001000,48,135,001000
2528,722,410,631,765,48135001100,48,135,001100
1702,480,532,299,391,48135001300,48,135,001300
1534,275,495,264,500,48135001500,48,135,001500
2062,623,530,453,456,48135001600,48,135,001600
2442,725,844,480,393,48135001700,48,135,001700
1205,361,388,210,246,48135001800,48,135,001800
1727,258,522,351,596,48135001900,48,135,001900
1289,310,316,238,425,48135002000,48,135,002000
1055,238,293,127,397,48135002200,48,135,002200
1711,733,541,142,295,48135002300,48,135,002300
1714,418,603,245,448,48135002400,48,135,002400
2641,396,731,633,881,48135002501,48,135,002501
2512,555,1029,476,452,48135002502,48,135,002502
2593,889,828,559,317,48135002503,48,135,002503
3411,679,980,534,1218,48135002700,48,135,002700
1372,193,376,227,576,48135002801,48,135,002801
2484,488,654,315,1027,48135002802,48,135,002802
1392,489,518,184,201,48135002900,48,135,002900
4241,1102,1219,622,1298,48135003000,48,135,003000
1413,592,315,122,384,48135003100,48,135,003100
789,344,244,93,108,48137950300,48,137,950300
2645,550,632,462,1001,48139060101,48,139,060101
2126,276,650,390,810,48139060102,48,139,060102
3141,558,1028,498,1057,48139060204,48,139,060204
2223,459,692,365,707,48139060206,48,139,060206
2143,388,669,254,832,48139060207,48,139,060207
1926,378,766,219,563,48139060208,48,139,060208
1633,172,580,258,623,48139060209,48,139,060209
549,52,241,65,191,48139060210,48,139,060210
1033,87,375,268,303,48139060211,48,139,060211
2049,315,716,385,633,48139060212,48,139,060212
2547,299,947,556,745,48139060213,48,139,060213
3279,373,1089,586,1231,48139060214,48,139,060214
1400,306,400,202,492,48139060300,48,139,060300
1632,481,573,268,310,48139060400,48,139,060400
1135,272,366,311,186,48139060500,48,139,060500
3595,1106,1184,568,737,48139060600,48,139,060600
672,100,167,92,313,48139060701,48,139,060701
1698,226,627,373,472,48139060702,48,139,060702
807,195,257,82,273,48139060703,48,139,060703
2652,333,908,395,1016,48139060801,48,139,060801
2548,312,862,469,905,48139060802,48,139,060802
462,117,153,49,143,48139060803,48,139,060803
2283,247,793,454,789,48139060900,48,139,060900
1505,403,451,287,364,48139061000,48,139,061000
1633,168,580,294,591,48139061100,48,139,061100
669,121,235,113,200,48139061200,48,139,061200
961,162,313,86,400,48139061300,48,139,061300
2766,693,939,431,703,48139061400,48,139,061400
1835,431,327,425,652,48139061500,48,139,061500
1968,364,513,480,611,48139061600,48,139,061600
1792,344,680,253,515,48139061700,48,139,061700
2556,702,761,478,615,48141000101,48,141,000101
2046,371,660,428,587,48141000106,48,141,000106
1675,518,506,187,464,48141000107,48,141,000107
944,329,260,104,251,48141000108,48,141,000108
1128,226,231,253,418,48141000109,48,141,000109
1333,453,344,174,362,48141000110,48,141,000110
1119,365,408,190,156,48141000111,48,141,000111
1440,322,538,220,360,48141000112,48,141,000112
1815,500,456,289,570,48141000204,48,141,000204
1561,540,460,141,420,48141000205,48,141,000205
1532,340,476,331,385,48141000206,48,141,000206
1485,300,506,241,438,48141000207,48,141,000207
1443,399,314,204,526,48141000208,48,141,000208
2018,704,467,227,620,48141000301,48,141,000301
1630,371,304,444,511,48141000302,48,141,000302
2243,557,904,243,539,48141000401,48,141,000401
1181,385,248,177,371,48141000403,48,141,000403
1160,263,386,192,319,48141000404,48,141,000404
1553,355,522,270,406,48141000600,48,141,000600
2089,652,715,249,473,48141000800,48,141,000800
3281,1056,871,435,919,48141000900,48,141,000900
1164,311,421,201,231,48141001001,48,141,001001
1327,438,321,222,346,48141001002,48,141,001002
3192,1212,724,609,647,48141001104,48,141,001104
2401,595,733,535,538,48141001107,48,141,001107
1762,393,676,277,416,48141001109,48,141,001109
1813,429,615,290,479,48141001110,48,141,001110
2252,901,860,234,257,48141001111,48,141,001111
1643,592,447,260,344,48141001112,48,141,001112
2700,946,798,261,695,48141001113,48,141,001113
2097,842,519,318,418,48141001114,48,141,001114
1645,722,286,217,420,48141001115,48,141,001115
1534,413,352,277,492,48141001201,48,141,001201
1641,499,410,286,446,48141001202,48,141,001202
232,40,97,24,71,48141001203,48,141,001203
1377,286,509,185,397,48141001301,48,141,001301
2179,307,843,466,563,48141001302,48,141,001302
845,428,221,67,129,48141001400,48,141,001400
2125,668,593,422,442,48141001501,48,141,001501
826,441,184,71,130,48141001502,48,141,001502
1949,1046,555,243,105,48141001600,48,141,001600
243,131,78,15,19,48141001700,48,141,001700
429,192,164,34,39,48141001800,48,141,001800
766,300,220,69,177,48141001900,48,141,001900
944,271,292,139,242,48141002000,48,141,002000
808,453,197,80,78,48141002100,48,141,002100
1212,373,385,254,200,48141002201,48,141,002201
1724,805,467,131,321,48141002202,48,141,002202
1505,485,437,251,332,48141002300,48,141,002300
1101,397,392,79,233,48141002400,48,141,002400
2065,646,738,352,329,48141002500,48,141,002500
890,186,303,218,183,48141002600,48,141,002600
1569,550,446,274,299,48141002800,48,141,002800
516,173,176,105,62,48141002900,48,141,002900
1088,323,387,147,231,48141003000,48,141,003000
1036,290,345,154,247,48141003100,48,141,003100
879,304,244,157,174,48141003200,48,141,003200
1917,633,558,334,392,48141003300,48,141,003300
2188,827,594,380,387,48141003402,48,141,003402
2332,1037,376,345,574,48141003403,48,141,003403
2275,775,590,349,561,48141003404,48,141,003404
1030,217,232,220,361,48141003501,48,141,003501
1458,553,365,192,348,48141003502,48,141,003502
1317,336,343,276,362,48141003601,48,141,003601
896,282,259,139,216,48141003602,48,141,003602
1412,294,477,215,426,48141003701,48,141,003701
1478,371,500,274,333,48141003702,48,141,003702
1730,473,518,299,440,48141003801,48,141,003801
980,188,275,250,267,48141003803,48,141,003803
1171,184,329,280,378,48141003804,48,141,003804
1251,387,284,201,379,48141003901,48,141,003901
804,185,272,137,210,48141003902,48,141,003902
1871,457,558,347,509,48141003903,48,141,003903
2516,212,632,617,1055,48141004002,48,141,004002
2484,572,506,556,850,48141004003,48,141,004003
1623,318,551,278,476,48141004004,48,141,004004
2383,631,574,406,772,48141004103,48,141,004103
1982,389,568,412,613,48141004104,48,141,004104
1198,381,381,215,221,48141004105,48,141,004105
1674,349,497,425,403,48141004106,48,141,004106
445,69,146,62,168,48141004107,48,141,004107
1793,438,538,311,506,48141004201,48,141,004201
1977,564,738,270,405,48141004202,48,141,004202
1962,376,775,270,541,48141004303,48,141,004303
2051,503,694,292,562,48141004307,48,141,004307
2065,675,660,420,310,48141004309,48,141,004309
1898,506,531,397,464,48141004310,48,141,004310
1620,566,430,314,310,48141004311,48,141,004311
1995,597,780,366,252,48141004312,48,141,004312
1270,352,541,108,269,48141004313,48,141,004313
1733,482,586,247,418,48141004314,48,141,004314
2230,669,669,347,545,48141004316,48,141,004316
1923,764,533,323,303,48141004317,48,141,004317
1251,179,557,174,341,48141004318,48,141,004318
1656,240,545,347,524,48141004319,48,141,004319
918,227,200,155,336,48141004320,48,141,004320
988,0,130,186,672,48141010101,48,141,010101
814,97,134,137,446,48141010102,48,141,010102
479,37,108,118,216,48141010103,48,141,010103
1116,270,360,188,298,48141010203,48,141,010203
2879,685,793,478,923,48141010207,48,141,010207
2401,380,917,581,523,48141010210,48,141,010210
1005,243,416,157,189,48141010211,48,141,010211
2921,622,966,514,819,48141010212,48,141,010212
2422,393,556,563,910,48141010213,48,141,010213
1944,372,607,403,562,48141010214,48,141,010214
3068,682,802,544,1040,48141010215,48,141,010215
2625,548,754,503,820,48141010216,48,141,010216
1571,368,360,328,515,48141010217,48,141,010217
1077,191,186,167,533,48141010218,48,141,010218
2731,562,727,459,983,48141010219,48,141,010219
1505,344,239,404,518,48141010220,48,141,010220
1522,314,407,197,604,48141010221,48,141,010221
582,125,196,82,179,48141010222,48,141,010222
1109,254,400,145,310,48141010303,48,141,010303
2106,356,696,517,537,48141010307,48,141,010307
2207,556,500,443,708,48141010311,48,141,010311
1323,325,390,265,343,48141010312,48,141,010312
1340,162,583,287,308,48141010316,48,141,010316
1302,207,428,280,387,48141010317,48,141,010317
201,43,76,24,58,48141010319,48,141,010319
1491,279,404,291,517,48141010322,48,141,010322
1313,180,505,215,413,48141010323,48,141,010323
2441,547,582,588,724,48141010324,48,141,010324
2463,406,430,308,1319,48141010325,48,141,010325
1621,323,491,239,568,48141010326,48,141,010326
1200,138,360,294,408,48141010327,48,141,010327
1494,376,367,243,508,48141010328,48,141,010328
1581,153,335,271,822,48141010329,48,141,010329
2991,164,779,649,1399,48141010330,48,141,010330
3751,796,968,817,1170,48141010331,48,141,010331
2642,356,577,531,1178,48141010332,48,141,010332
1163,142,184,253,584,48141010333,48,141,010333
906,121,145,122,518,48141010334,48,141,010334
994,206,153,118,517,48141010335,48,141,010335
1949,375,476,497,601,48141010336,48,141,010336
2230,449,556,346,879,48141010337,48,141,010337
2157,268,546,686,657,48141010338,48,141,010338
2675,590,640,687,758,48141010339,48,141,010339
615,65,130,121,299,48141010340,48,141,010340
12051,1813,2565,2454,5219,48141010341,48,141,010341
4298,683,1061,869,1685,48141010342,48,141,010342
1663,232,582,373,476,48141010343,48,141,010343
773,96,149,124,404,48141010344,48,141,010344
2734,268,588,628,1250,48141010345,48,141,010345
1232,152,461,93,526,48141010346,48,141,010346
1247,236,336,277,398,48141010347,48,141,010347
1757,245,526,346,640,48141010401,48,141,010401
1312,247,464,187,414,48141010404,48,141,010404
1920,227,471,383,839,48141010405,48,141,010405
808,66,281,160,301,48141010406,48,141,010406
1933,175,544,472,742,48141010407,48,141,010407
1093,189,240,197,467,48141010408,48,141,010408
1635,153,328,301,853,48141010409,48,141,010409
1271,78,411,230,552,48141010501,48,141,010501
516,136,132,89,159,48141010502,48,141,010502
360,93,120,17,130,48141010504,48,141,010504
859,182,237,116,324,48141010505,48,141,010505
776,160,196,162,258,48141010506,48,141,010506
1689,179,405,408,697,48141010600,48,141,010600
0,0,0,0,0,48141980000,48,141,980000
1165,167,561,148,289,48143950100,48,143,950100
1190,207,506,187,290,48143950201,48,143,950201
2466,463,1101,377,525,48143950202,48,143,950202
1664,358,695,267,344,48143950300,48,143,950300
2298,763,679,311,545,48143950400,48,143,950400
2624,1073,750,390,411,48143950500,48,143,950500
1396,552,446,139,259,48143950600,48,143,950600
792,191,425,31,145,48143950700,48,143,950700
983,292,332,227,132,48145000200,48,145,000200
1066,475,311,109,171,48145000300,48,145,000300
538,237,155,97,49,48145000400,48,145,000400
720,207,259,78,176,48145000500,48,145,000500
910,210,400,89,211,48145000700,48,145,000700
