S1201_C01_001E,S1201_C01_017E,S1201_C01_018E,S1201_C01_019E,S1201_C01_020E,S1201_C01_021E,S1201_C01_022E,S1201_C01_023E,S1201_C01_024E,S1201_C01_025E,S1201_C01_026E,S1201_C02_001E,S1201_C03_001E,S1201_C04_001E,S1201_C05_001E,S1201_C06_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
3854,3780,3433,250,28,10,0,59,74,447,3051,64.2,8.1,8.5,1.7,17.4,48001950100,48,001,950100
4694,4651,2737,1890,15,0,0,9,43,1212,1543,19.9,1.1,15.9,9.7,53.5,48001950401,48,001,950401
7486,7471,4390,3048,17,7,9,0,15,1744,2654,19.4,3.0,21.9,4.9,50.8,48001950402,48,001,950402
3462,3368,2275,838,26,0,0,229,94,1224,1314,53.4,4.3,13.5,2.7,26.1,48001950500,48,001,950500
4285,4263,2933,1330,0,0,0,0,22,165,2768,36.0,8.3,14.7,1.8,39.3,48001950600,48,001,950600
2070,2041,931,864,13,5,0,228,29,548,616,36.3,13.2,10.9,3.3,36.2,48001950700,48,001,950700
4175,4117,2779,906,33,130,0,269,58,566,2482,50.5,5.2,9.5,3.1,31.7,48001950800,48,001,950800
5312,5271,4432,633,38,12,0,156,41,699,3889,43.4,8.2,21.1,1.8,25.5,48001950901,48,001,950901
3702,3695,3212,458,10,0,0,15,7,323,2904,68.2,5.4,14.4,0.2,11.8,48001950902,48,001,950902
5832,5824,5245,192,48,10,0,329,8,700,4928,54.1,8.2,12.7,2.1,22.9,48001951000,48,001,951000
3646,3532,3150,339,9,17,0,17,114,367,2800,54.8,5.2,22.1,1.0,17.0,48001951100,48,001,951100
1707,1693,1676,8,0,0,0,9,14,730,965,69.6,4.9,6.8,1.0,17.7,48003950100,48,003,950100
5886,5688,4849,75,0,65,31,668,198,3049,2528,59.3,3.2,11.7,2.3,23.4,48003950200,48,003,950200
3053,2993,2903,39,0,0,0,51,60,2140,814,50.5,4.0,10.4,4.5,30.6,48003950300,48,003,950300
2627,2627,2538,0,0,0,0,89,0,1196,1431,50.7,4.2,11.2,3.2,30.7,48003950400,48,003,950400
5081,5066,4708,341,10,7,0,0,15,534,4174,44.7,5.7,15.5,3.4,30.6,48005000101,48,005,000101
3492,3463,3269,106,11,58,0,19,29,308,2980,68.6,5.9,7.7,1.3,16.6,48005000102,48,005,000102
5232,5204,4572,422,95,0,0,115,28,1199,3583,57.9,5.1,9.3,3.4,24.3,48005000200,48,005,000200
4277,4266,3564,587,83,0,0,32,11,551,3092,45.1,6.8,14.3,4.8,29.0,48005000301,48,005,000301
4005,4003,3408,510,0,36,0,49,2,638,2821,54.2,5.5,11.1,3.0,26.1,48005000302,48,005,000302
4121,4094,3274,758,0,36,0,26,27,1130,2191,40.0,8.4,20.4,3.5,27.6,48005000400,48,005,000400
3048,2992,862,2105,0,0,0,25,56,425,462,27.2,10.7,16.5,6.0,39.6,48005000500,48,005,000500
4767,4743,3010,1438,0,110,0,185,24,2119,1090,47.2,5.6,11.7,2.2,33.3,48005000600,48,005,000600
2771,2719,1821,675,25,0,0,198,52,1455,597,37.3,4.7,11.9,5.3,40.8,48005000700,48,005,000700
4715,4613,3975,423,93,6,0,116,102,790,3374,51.6,10.3,9.7,1.0,27.4,48005000800,48,005,000800
5113,4941,3662,1008,0,197,0,74,172,759,2951,53.9,8.8,7.3,1.2,28.8,48005000901,48,005,000901
3216,3166,2467,392,0,274,5,28,50,442,2072,56.3,4.4,5.7,4.7,28.9,48005000902,48,005,000902
4038,3973,2794,616,13,0,0,550,65,1775,1576,41.8,8.4,16.5,4.2,29.1,48005001001,48,005,001001
3058,2983,2555,318,0,32,0,78,75,700,1933,56.5,4.3,10.7,2.3,26.2,48005001002,48,005,001002
5479,5446,5209,168,0,44,0,25,33,270,4990,51.1,7.7,14.3,2.0,24.9,48005001100,48,005,001100
1973,1906,1876,25,0,5,0,0,67,8,1868,50.6,8.5,17.8,4.8,18.3,48005001200,48,005,001200
4320,4242,4128,109,5,0,0,0,78,142,3986,53.5,7.0,18.2,0.6,20.6,48005001300,48,005,001300
4711,4528,4258,16,6,248,0,0,183,576,3822,58.9,7.5,13.0,1.9,18.7,48007950100,48,007,950100
1013,1006,1004,0,2,0,0,0,7,95,909,56.3,15.6,6.7,0.0,21.4,48007950200,48,007,950200
6695,6543,6427,37,0,0,0,79,152,2515,3991,56.6,5.8,17.4,3.2,17.1,48007950300,48,007,950300
3417,3326,2833,113,45,241,0,94,91,1100,1933,52.1,3.5,16.2,0.9,27.4,48007950400,48,007,950400
4941,4647,4408,19,0,0,0,220,294,762,4017,52.7,8.3,17.2,1.1,20.7,48007950500,48,007,950500
0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,48007990000,48,007,990000
2454,2422,2386,9,11,9,0,7,32,66,2342,68.2,5.6,10.7,1.3,14.3,48009020100,48,009,020100
1966,1897,1871,0,26,0,0,0,69,44,1839,55.5,10.4,8.4,2.5,23.1,48009020200,48,009,020200
2794,2777,2618,74,54,0,0,31,17,420,2261,49.5,8.7,12.8,1.3,27.7,48009020300,48,009,020300
1601,1555,1486,5,22,0,0,42,46,137,1416,61.3,6.6,11.6,2.7,17.8,48011950100,48,011,950100
5541,5325,5078,47,0,37,0,163,216,3231,2160,57.9,8.6,9.0,5.0,19.5,48013960100,48,013,960100
5782,5653,5538,0,3,0,0,112,129,3868,1843,47.7,7.3,10.9,2.1,32.0,48013960201,48,013,960201
8461,8326,8024,38,32,0,0,232,135,6007,2309,50.0,5.9,8.2,4.6,31.3,48013960202,48,013,960202
3061,2932,2815,0,65,45,0,7,129,2518,459,46.4,7.1,9.1,1.2,36.2,48013960300,48,013,960300
1767,1654,1591,0,11,0,0,52,113,1266,465,53.4,7.8,13.4,2.9,22.6,48013960401,48,013,960401
6901,6450,6256,24,0,48,0,122,451,3061,3697,52.2,6.9,11.5,1.0,28.5,48013960402,48,013,960402
1995,1895,1838,10,0,0,0,47,100,1552,398,53.2,3.8,6.0,8.0,29.0,48013960500,48,013,960500
4720,4615,4461,16,0,0,0,138,105,2291,2290,40.6,6.4,15.5,5.6,32.0,48013960600,48,013,960600
2075,2055,1540,221,15,0,0,279,20,761,1060,58.9,6.2,9.2,1.1,24.6,48015760100,48,015,760100
4484,4350,3265,587,0,16,0,482,134,1298,2554,62.8,5.8,9.3,1.5,20.8,48015760200,48,015,760200
5340,5147,4006,329,0,0,0,812,193,1663,3241,56.0,6.7,10.6,4.4,22.4,48015760300,48,015,760300
3398,3392,2938,254,0,85,0,115,6,483,2555,67.2,4.9,5.7,1.4,20.8,48015760400,48,015,760400
3876,3818,3678,98,0,0,0,42,58,328,3392,72.4,5.6,5.5,0.3,16.1,48015760501,48,015,760501
4722,4722,3614,716,30,0,0,362,0,1032,2944,55.2,8.3,7.3,0.0,29.2,48015760502,48,015,760502
5658,5655,4689,33,80,57,0,796,3,3243,2253,42.4,6.8,9.0,4.1,37.7,48017950100,48,017,950100
3716,3709,3583,0,28,23,0,75,7,578,3108,66.7,6.7,12.1,1.6,12.9,48019000101,48,019,000101
5227,4700,4650,12,0,5,0,33,527,977,4122,55.7,6.6,12.5,1.8,23.4,48019000102,48,019,000102
2385,2385,2203,104,3,0,0,75,0,203,2075,47.0,10.6,12.7,1.3,28.3,48019000200,48,019,000200
5910,5633,5335,38,136,19,0,105,277,1375,4358,50.1,6.2,19.1,1.7,22.9,48019000300,48,019,000300
1886,1801,1704,0,82,15,0,0,85,231,1565,56.0,3.6,19.6,2.9,17.9,48019000400,48,019,000400
6953,6854,5330,190,14,84,0,1236,99,1938,4567,49.8,8.8,15.2,1.6,24.7,48021950100,48,021,950100
7251,7149,3712,2075,0,17,0,1345,102,3074,2128,42.0,4.6,14.5,0.2,38.6,48021950200,48,021,950200
12298,11997,9172,979,29,253,0,1564,301,3108,7817,47.9,6.4,12.6,0.7,32.4,48021950300,48,021,950300
7721,7535,6563,481,49,47,0,395,186,1061,6019,54.0,7.0,14.9,3.3,20.7,48021950400,48,021,950400
7111,6951,5075,496,117,78,0,1185,160,3437,3015,42.0,3.9,13.2,3.1,37.8,48021950501,48,021,950501
5111,4993,4693,73,90,20,0,117,118,571,4284,58.8,6.9,11.2,0.8,22.3,48021950502,48,021,950502
4438,4347,3900,215,27,36,0,169,91,540,3601,54.2,7.1,13.5,3.0,22.2,48021950600,48,021,950600
3822,3785,3026,402,26,72,0,259,37,356,2819,45.0,11.1,14.5,1.0,28.5,48021950700,48,021,950700
5994,5610,2261,258,28,0,0,3063,384,4305,1365,50.3,2.2,5.0,1.5,41.0,48021950801,48,021,950801
6190,6171,3509,89,0,20,0,2553,19,3791,2251,45.8,2.8,11.4,0.8,39.1,48021950802,48,021,950802
2932,2910,2696,79,9,0,40,86,22,225,2564,54.8,14.6,9.4,2.6,18.6,48023950300,48,023,950300
1496,1495,1473,18,0,0,0,4,1,632,845,48.9,8.0,13.6,1.9,27.5,48025950100,48,025,950100
8179,7328,5300,1956,46,10,4,12,851,3500,2104,20.5,2.8,18.7,3.4,54.6,48025950201,48,025,950201
4313,4311,4212,40,26,33,0,0,2,2159,2106,56.0,5.2,6.4,2.4,30.0,48025950202,48,025,950202
4270,4224,4045,54,0,87,0,38,46,2501,1575,41.6,6.0,12.2,1.0,39.3,48025950300,48,025,950300
1613,1582,1502,4,22,21,0,33,31,1042,524,38.8,8.7,18.4,0.0,34.0,48025950400,48,025,950400
4801,4778,4332,147,56,10,0,233,23,3470,1204,37.2,8.0,11.2,6.5,37.2,48025950500,48,025,950500
2202,2183,2144,6,0,0,0,33,19,1532,664,52.3,5.1,7.5,0.7,34.4,48025950600,48,025,950600
5794,5761,5694,26,4,0,0,37,33,814,4928,67.6,4.7,7.3,0.6,20.0,48027020100,48,027,020100
6315,6221,5494,190,37,248,0,252,94,718,5065,68.9,1.7,8.6,2.3,18.5,48027020201,48,027,020201
5904,5836,5590,28,148,0,0,70,68,1018,4790,53.6,8.9,11.9,0.5,25.1,48027020202,48,027,020202
8088,7883,6435,1132,70,175,0,71,205,1757,4819,61.2,3.0,9.5,1.6,24.7,48027020300,48,027,020300
2443,2414,1664,568,29,66,0,87,29,701,1090,38.4,4.8,16.0,3.0,37.8,48027020401,48,027,020401
2024,1970,1419,480,16,0,0,55,54,502,996,50.7,6.3,12.9,7.9,22.1,48027020402,48,027,020402
2940,2905,2387,443,0,0,0,75,35,1166,1296,41.0,4.1,15.2,3.4,36.4,48027020500,48,027,020500
2152,2111,1891,153,0,52,0,15,41,638,1309,51.6,4.3,7.6,5.0,31.5,48027020600,48,027,020600
1204,1201,789,303,3,5,14,87,3,381,511,25.0,5.5,21.2,10.5,37.8,48027020701,48,027,020701
1367,1354,1077,219,15,0,0,43,13,614,530,34.8,6.1,23.6,6.2,29.3,48027020702,48,027,020702
2105,2041,868,1146,0,0,0,27,64,555,340,39.7,8.4,18.9,5.5,27.6,48027020800,48,027,020800
2234,2185,1558,553,41,0,0,33,49,637,1022,30.2,12.6,15.7,2.6,38.9,48027020900,48,027,020900
3364,3215,2605,495,42,21,0,52,149,1233,1522,32.3,6.2,21.1,3.9,36.6,48027021000,48,027,021000
4527,4363,3280,860,0,135,0,88,164,1097,2323,38.3,11.5,10.7,1.9,37.6,48027021100,48,027,021100
2781,2687,1945,542,0,50,0,150,94,679,1516,35.2,8.6,18.9,1.1,36.3,48027021201,48,027,021201
3223,3132,2575,401,9,45,0,102,91,674,2051,54.4,5.1,10.9,2.1,27.6,48027021202,48,027,021202
3900,3787,3355,307,0,15,10,100,113,702,2772,50.7,6.7,10.7,1.9,30.1,48027021203,48,027,021203
4252,4136,3657,371,0,43,0,65,116,958,2778,51.1,9.8,12.2,1.3,25.6,48027021301,48,027,021301
2577,2527,2396,78,14,19,0,20,50,230,2201,53.7,11.3,8.8,2.4,23.9,48027021302,48,027,021302
7454,6987,5451,1080,0,357,0,99,467,1232,4570,52.4,6.4,10.4,2.7,28.1,48027021303,48,027,021303
3289,3247,3083,51,0,65,6,42,42,601,2573,58.5,6.1,8.8,1.2,25.5,48027021400,48,027,021400
5729,5581,4424,817,0,0,9,331,148,2043,2729,48.9,6.2,10.7,1.3,32.9,48027021500,48,027,021500
4020,3863,3330,334,0,12,0,187,157,1591,2024,43.1,8.4,12.1,3.8,32.6,48027021601,48,027,021601
2568,2483,2042,337,14,34,0,56,85,731,1515,17.4,1.2,4.4,1.4,75.7,48027021602,48,027,021602
6839,6628,6239,117,61,138,0,73,211,717,5669,45.7,7.6,11.4,3.8,31.6,48027021700,48,027,021700
7158,6879,5492,1081,11,158,0,137,279,1101,4695,51.8,4.4,13.3,1.7,28.8,48027021800,48,027,021800
2951,2749,2111,328,34,58,8,210,202,735,1690,48.3,6.4,8.7,3.5,33.1,48027021901,48,027,021901
7148,6557,4334,1639,0,471,77,36,591,1046,3527,62.0,2.6,8.8,2.9,23.7,48027021903,48,027,021903
9065,8786,6273,1785,27,588,0,113,279,1537,5045,53.1,4.2,14.0,1.2,27.4,48027021904,48,027,021904
6268,5965,3910,1384,0,224,222,225,303,1468,2804,51.5,3.5,11.7,2.3,31.1,48027022000,48,027,022000
3425,3322,1989,987,60,77,49,160,103,665,1582,48.4,7.7,10.9,1.4,31.6,48027022101,48,027,022101
4137,4041,1619,1976,13,203,0,230,96,1153,1114,43.3,3.9,9.5,2.6,40.8,48027022103,48,027,022103
3370,3282,1418,1458,0,216,81,109,88,683,1037,51.2,5.1,12.1,2.1,29.6,48027022104,48,027,022104
1568,1448,719,644,0,39,36,10,120,375,470,49.5,3.2,11.9,1.5,33.9,48027022105,48,027,022105
2814,2731,1403,1103,0,86,74,65,83,644,956,47.3,4.5,12.2,1.1,34.8,48027022200,48,027,022200
2976,2828,1607,1092,8,94,0,27,148,432,1300,43.1,7.8,11.2,6.4,31.6,48027022300,48,027,022300
4169,3745,1755,1810,0,94,0,86,424,1008,978,51.5,4.9,14.2,1.5,27.9,48027022401,48,027,022401
5645,5338,2579,2285,8,268,0,198,307,1217,1834,59.8,3.9,9.2,0.0,27.1,48027022402,48,027,022402
3558,3303,1672,1203,110,171,56,91,255,1040,1017,56.7,4.0,7.0,1.2,31.1,48027022403,48,027,022403
5563,5296,2664,2116,56,286,0,174,267,1685,1636,56.6,6.2,8.4,3.1,25.8,48027022404,48,027,022404
1819,1729,1105,411,17,82,16,98,90,413,903,37.8,4.9,14.1,2.5,40.7,48027022405,48,027,022405
2414,2284,1439,548,33,57,8,199,130,647,1184,48.8,5.9,13.8,2.7,28.8,48027022501,48,027,022501
9458,9206,4298,3456,278,737,66,371,252,2219,2891,53.8,3.2,10.4,2.6,30.0,48027022502,48,027,022502
3201,3093,1895,1037,8,63,20,70,108,1159,978,39.5,7.2,13.2,1.8,38.2,48027022600,48,027,022600
1797,1756,830,649,55,112,64,46,41,482,536,47.4,5.7,18.8,4.3,23.9,48027022801,48,027,022801
2873,2761,1344,1125,0,93,109,90,112,645,974,43.5,3.0,9.1,4.6,39.8,48027022900,48,027,022900
7066,6830,3824,2340,48,359,55,204,236,1533,2747,55.2,2.8,12.4,1.3,28.3,48027023000,48,027,023000
3444,3315,1417,1281,0,74,267,276,129,772,1016,45.6,5.0,14.4,2.5,32.6,48027023103,48,027,023103
2366,2202,1076,935,0,43,0,148,164,757,577,51.1,5.2,14.4,0.3,29.1,48027023104,48,027,023104
10709,10182,4067,4897,71,661,197,289,527,2000,2979,56.4,4.5,9.1,2.8,27.3,48027023105,48,027,023105
6655,6321,2609,3166,0,269,173,104,334,1658,1815,53.4,2.0,13.0,2.8,28.9,48027023106,48,027,023106
5157,4956,1569,2727,54,169,127,310,201,980,1014,44.4,1.0,9.5,3.0,42.0,48027023107,48,027,023107
10826,10102,5058,4032,18,643,35,316,724,3500,2746,55.7,2.7,3.8,4.1,33.7,48027023108,48,027,023108
882,837,667,75,4,66,0,25,45,167,539,87.5,0.6,2.6,0.6,8.7,48027023201,48,027,023201
3922,3689,2630,579,19,148,73,240,233,1227,1791,31.7,0.0,4.0,1.8,62.6,48027023202,48,027,023202
783,760,520,118,9,75,0,38,23,170,388,90.3,0.0,4.3,0.9,4.5,48027023203,48,027,023203
4407,3919,2560,1069,10,173,7,100,488,999,1784,26.2,0.0,6.6,3.0,64.2,48027023204,48,027,023204
7176,6792,4912,1479,126,213,0,62,384,1720,3613,56.5,3.3,13.2,1.6,25.4,48027023300,48,027,023300
4112,4076,3770,191,37,4,0,74,36,793,3088,56.3,6.1,10.6,2.9,24.2,48027023402,48,027,023402
5390,5317,5035,67,0,67,0,148,73,703,4496,70.2,2.5,7.3,1.4,18.6,48027023403,48,027,023403
3291,3210,3021,98,0,27,0,64,81,736,2363,60.1,6.0,7.6,0.8,25.5,48027023404,48,027,023404
1577,1557,909,443,11,20,26,148,20,683,414,36.5,4.6,15.7,4.4,38.9,48027023500,48,027,023500
80,80,43,22,0,15,0,0,0,27,16,23.8,0.0,0.0,0.0,76.3,48027980001,48,027,980001
0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,48027980002,48,027,980002
0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,48027980003,48,027,980003
3039,2977,2497,104,9,17,0,350,62,1765,1104,23.7,3.3,18.5,7.7,46.7,48029110100,48,029,110100
2263,2118,1730,82,5,50,0,251,145,1647,469,25.7,1.6,14.0,6.4,52.3,48029110300,48,029,110300
1638,1633,1368,110,0,67,0,88,5,1406,70,25.9,7.2,7.6,6.5,52.7,48029110500,48,029,110500
4826,4697,3613,599,168,5,0,312,129,3626,589,18.9,4.4,14.7,8.6,53.5,48029110600,48,029,110600
956,953,838,33,54,6,0,22,3,771,95,32.7,8.6,24.1,3.3,31.3,48029110700,48,029,110700
1767,1720,1494,104,0,2,0,120,47,1121,516,27.2,8.3,14.4,0.8,49.3,48029110800,48,029,110800
1601,1593,1428,46,0,37,0,82,8,646,846,43.7,0.7,8.6,1.3,45.7,48029110900,48,029,110900
2513,2439,1634,119,3,62,0,621,74,1656,593,29.8,5.1,15.8,4.9,44.5,48029111000,48,029,111000
3279,3126,2219,653,18,184,0,52,153,744,1586,55.3,0.3,0.5,0.2,43.6,48029120100,48,029,120100
6834,6369,6201,125,22,21,0,0,465,1170,5180,57.0,4.0,8.0,0.5,30.6,48029120300,48,029,120300
4690,4661,4489,93,0,70,0,9,29,912,3586,66.7,7.4,6.8,0.9,18.3,48029120400,48,029,120400
7626,7361,5992,825,38,229,0,277,265,4158,2292,32.9,6.4,14.2,3.3,43.2,48029120501,48,029,120501
3894,3711,2925,466,0,172,0,148,183,2109,1061,39.3,6.9,13.8,3.5,36.6,48029120502,48,029,120502
5074,4873,4276,426,14,107,0,50,201,1412,2971,30.0,2.3,20.3,2.9,44.6,48029120600,48,029,120600
5209,5137,4848,49,20,34,17,169,72,2625,2462,41.2,6.2,12.9,3.3,36.4,48029120701,48,029,120701
3974,3918,3442,136,0,216,0,124,56,1191,2386,42.4,12.5,20.4,0.9,23.8,48029120702,48,029,120702
5522,5522,5260,15,2,171,0,74,0,865,4455,52.1,5.1,12.7,1.4,28.6,48029120800,48,029,120800
2060,1952,1858,21,0,39,0,34,108,1002,903,46.5,8.9,17.2,1.6,25.8,48029120901,48,029,120901
6296,6196,4601,1151,12,88,0,344,100,1966,3055,31.8,6.2,15.6,4.5,41.9,48029120902,48,029,120902
6040,5758,5028,178,24,74,0,454,282,2896,2694,38.9,6.1,17.6,1.8,35.6,48029121000,48,029,121000
6907,6701,6106,195,183,132,0,85,206,2233,4073,47.6,3.4,12.3,0.6,36.0,48029121108,48,029,121108
4231,4100,3475,247,0,194,0,184,131,1723,2048,48.9,6.5,10.7,0.8,33.0,48029121110,48,029,121110
5242,4771,4059,419,0,165,0,128,471,2274,2033,49.3,3.2,10.7,1.5,35.3,48029121111,48,029,121111
3268,3156,2800,174,0,113,0,69,112,1231,1681,37.7,8.2,11.1,1.9,41.1,48029121112,48,029,121112
4948,4889,4509,213,0,53,0,114,59,1287,3319,52.5,6.6,13.2,0.0,27.7,48029121115,48,029,121115
4244,4167,3347,262,19,85,0,454,77,1717,2116,42.1,6.3,23.2,0.4,28.1,48029121116,48,029,121116
3925,3840,3245,167,17,176,0,235,85,1466,2064,46.4,3.7,15.3,1.9,32.7,48029121117,48,029,121117
5377,5307,4384,498,198,93,0,134,70,1633,3137,47.9,2.4,5.3,0.0,44.4,48029121118,48,029,121118
5089,4929,4211,83,11,393,0,231,160,1951,2728,41.5,2.1,11.9,0.7,43.7,48029121119,48,029,121119
4012,3802,3248,396,0,92,0,66,210,2254,1240,56.8,5.3,10.3,0.0,27.6,48029121120,48,029,121120
2349,2223,2008,176,0,0,0,39,126,626,1444,63.4,3.5,9.8,0.0,23.2,48029121121,48,029,121121
4985,4829,4208,270,28,52,0,271,156,1782,2738,49.9,5.5,12.5,1.1,31.0,48029121122,48,029,121122
3869,3837,3132,176,0,121,0,408,32,2544,1077,36.7,7.0,19.8,2.4,34.1,48029121203,48,029,121203
6560,6321,4257,1369,34,297,41,323,239,2542,2275,32.2,6.6,17.8,2.6,40.8,48029121204,48,029,121204
3326,3264,2680,342,0,88,23,131,62,1673,1166,38.1,3.3,11.8,2.7,44.0,48029121205,48,029,121205
6728,6625,5446,804,0,161,0,214,103,2949,2796,51.2,6.6,11.0,2.1,29.1,48029121206,48,029,121206
5686,5462,3995,886,0,411,0,170,224,2048,2540,38.9,10.7,13.3,1.6,35.5,48029121300,48,029,121300
6068,5970,3649,1543,0,385,3,390,98,3386,1022,49.4,3.0,5.9,1.7,39.9,48029121402,48,029,121402
4890,4729,3092,835,37,195,0,570,161,2599,1231,32.0,7.9,13.9,6.0,40.1,48029121403,48,029,121403
4156,4057,2710,993,0,121,0,233,99,2263,773,34.9,5.2,13.8,6.8,39.2,48029121404,48,029,121404
7897,7446,5320,1259,123,425,0,319,451,2708,3244,44.2,5.3,11.1,2.8,36.5,48029121501,48,029,121501
5317,5261,3683,1137,40,233,20,148,56,1818,2090,43.4,7.0,9.1,1.9,38.5,48029121504,48,029,121504
3969,3862,2644,549,80,128,7,454,107,1699,1478,39.1,5.2,12.7,3.4,39.7,48029121505,48,029,121505
3068,3013,1918,731,19,24,0,321,55,1293,948,37.0,6.5,12.6,5.8,38.1,48029121506,48,029,121506
3726,3562,2471,856,50,51,10,124,164,1319,1287,39.9,10.0,12.3,4.8,32.9,48029121507,48,029,121507
3342,3224,2104,821,0,82,19,198,118,1638,726,37.6,2.4,13.3,3.6,43.1,48029121508,48,029,121508
4319,4238,3231,495,0,59,0,453,81,1933,1768,25.5,5.4,19.3,4.3,45.4,48029121601,48,029,121601
7015,6619,4655,1461,0,48,50,405,396,2277,2830,45.4,4.1,18.7,2.3,29.5,48029121604,48,029,121604
1610,1531,1222,131,6,59,9,104,79,426,923,44.7,10.9,14.1,2.4,27.9,48029121605,48,029,121605
4012,3630,2823,455,0,151,0,201,382,1531,1684,38.1,6.3,14.4,4.0,37.3,48029121606,48,029,121606
3679,3587,2593,404,0,173,0,417,92,1241,1778,44.2,5.7,13.0,3.2,34.0,48029121701,48,029,121701
5784,5514,4495,469,0,489,0,61,270,1558,3144,57.0,4.0,13.1,0.8,25.1,48029121702,48,029,121702
6577,6485,5391,327,66,230,0,471,92,2939,3175,42.7,6.2,15.2,3.0,32.9,48029121802,48,029,121802
4018,3926,3199,484,22,67,0,154,92,1722,1703,47.0,5.0,11.6,2.3,34.0,48029121803,48,029,121803
5217,5120,4495,326,0,92,0,207,97,2367,2377,38.5,3.2,14.8,1.6,41.9,48029121804,48,029,121804
2832,2824,2509,154,0,31,0,130,8,1311,1331,47.7,6.7,15.7,0.5,29.4,48029121808,48,029,121808
4124,4008,3388,279,8,132,0,201,116,1628,2012,44.4,3.7,19.2,2.5,30.2,48029121809,48,029,121809
3800,3800,3222,294,11,49,25,199,0,1652,1780,55.9,3.2,10.0,0.4,30.6,48029121810,48,029,121810
4295,4204,3565,284,0,283,0,72,91,1780,1894,50.1,3.2,10.3,1.6,34.9,48029121811,48,029,121811
5168,4790,4198,461,12,42,0,77,378,2024,2569,49.4,4.5,13.4,0.0,32.7,48029121812,48,029,121812
1437,1412,1238,122,0,0,0,52,25,527,745,45.4,8.0,15.6,1.3,29.6,48029121813,48,029,121813
4996,4874,4089,332,0,244,16,193,122,1410,2910,54.4,2.7,10.0,5.7,27.2,48029121903,48,029,121903
2446,2390,1967,100,0,220,31,72,56,637,1398,68.2,3.0,5.1,0.5,23.1,48029121904,48,029,121904
4615,4410,3761,223,13,380,0,33,205,1439,2455,52.3,3.4,9.3,1.5,33.5,48029121905,48,029,121905
4492,4244,3878,118,0,205,0,43,248,1295,2625,49.1,4.0,11.4,1.6,33.9,48029121906,48,029,121906
9599,9244,7731,785,14,345,26,343,355,3587,4723,51.7,5.7,10.4,1.5,30.7,48029121907,48,029,121907
2086,2057,1922,18,17,25,0,75,29,522,1449,66.9,4.0,6.1,0.2,22.7,48029121908,48,029,121908
6499,5981,3586,1275,0,354,16,750,518,2473,2082,48.2,3.4,11.3,2.8,34.3,48029121909,48,029,121909
5490,5317,3998,323,0,626,0,370,173,1934,2518,60.5,6.5,8.4,1.5,23.2,48029121910,48,029,121910
1279,1263,598,211,66,6,0,382,16,905,89,28.4,7.7,19.9,4.5,39.5,48029130200,48,029,130200
2416,2410,1288,430,25,15,0,652,6,1876,95,41.1,3.9,12.2,7.4,35.4,48029130300,48,029,130300
3251,3117,1926,465,10,3,0,713,134,2660,125,30.0,5.4,14.5,7.7,42.4,48029130401,48,029,130401
2924,2905,1491,737,0,0,0,677,19,2096,91,29.1,6.0,13.7,2.2,49.0,48029130402,48,029,130402
3382,3310,1598,1153,24,0,0,535,72,2087,110,25.8,5.3,10.8,7.8,50.2,48029130500,48,029,130500
3109,2956,1404,1144,0,0,0,408,153,1834,231,21.6,10.6,17.5,4.8,45.5,48029130600,48,029,130600
1791,1720,1209,303,0,0,0,208,71,1257,222,27.6,13.3,6.4,4.1,48.6,48029130700,48,029,130700
4512,4414,1530,2485,111,15,0,273,98,1628,244,23.6,6.7,9.5,7.2,53.0,48029130800,48,029,130800
3648,3586,1603,1478,0,130,0,375,62,1820,184,31.4,4.7,17.2,1.4,45.2,48029130900,48,029,130900
4030,4010,1823,1877,0,105,0,205,20,1788,272,24.5,9.9,11.9,3.0,50.7,48029131000,48,029,131000
2152,2145,783,866,3,0,0,493,7,1151,127,31.6,6.1,11.2,1.9,49.3,48029131100,48,029,131100
2319,2303,1303,738,33,41,0,188,16,1036,487,28.6,12.8,12.1,2.5,43.9,48029131200,48,029,131200
4823,4652,2769,1390,10,65,0,418,171,2023,1250,47.2,7.2,18.8,1.0,25.8,48029131300,48,029,131300
8080,7972,5519,1625,34,269,0,525,108,4601,1614,49.7,5.1,6.7,1.7,36.7,48029131401,48,029,131401
2330,2249,1478,514,0,7,7,243,81,1392,392,39.3,5.0,13.2,4.2,38.4,48029131402,48,029,131402
2573,2537,1796,370,0,114,0,257,36,1230,928,44.9,6.4,14.1,1.9,32.7,48029131503,48,029,131503
3682,3615,2745,458,66,53,0,293,67,2389,737,35.4,9.1,12.8,2.6,40.1,48029131504,48,029,131504
4284,4196,2332,1404,25,46,0,389,88,2294,509,40.3,2.8,10.2,7.0,39.7,48029131505,48,029,131505
2986,2829,1751,737,0,70,0,271,157,1595,505,44.7,3.0,14.0,2.0,36.2,48029131506,48,029,131506
4528,4383,3241,731,0,39,0,372,145,2750,966,40.4,4.7,13.8,7.2,33.8,48029131507,48,029,131507
4008,3679,2330,804,0,141,0,404,329,1222,1569,59.0,2.1,7.8,1.3,29.7,48029131601,48,029,131601
4454,4340,2730,1142,0,68,0,400,114,1790,1371,52.7,2.0,12.0,2.6,30.8,48029131606,48,029,131606
