S1201_C01_001E,S1201_C01_017E,S1201_C01_018E,S1201_C01_019E,S1201_C01_020E,S1201_C01_021E,S1201_C01_022E,S1201_C01_023E,S1201_C01_024E,S1201_C01_025E,S1201_C01_026E,S1201_C02_001E,S1201_C03_001E,S1201_C04_001E,S1201_C05_001E,S1201_C06_001E,FIPS,STATEFP,COUNTYFP,TRACTCE
1653,1634,1461,116,6,23,0,28,19,564,931,45.4,4.6,20.1,2.0,27.9,48439106700,48,439,106700
5343,5296,3331,676,0,702,0,587,47,1383,2549,51.8,3.1,11.8,0.4,32.9,48439110101,48,439,110101
2790,2657,1855,215,0,215,0,372,133,1192,1135,47.8,6.5,11.0,4.2,30.5,48439110102,48,439,110102
3548,3510,2141,27,0,268,0,1074,38,2095,1120,47.7,4.8,8.0,1.2,38.3,48439110202,48,439,110202
6608,6549,4581,564,13,693,0,698,59,1909,3441,42.9,3.1,13.6,2.8,37.6,48439110203,48,439,110203
5329,5114,3712,226,55,655,23,443,215,2418,1946,53.6,5.3,6.6,3.8,30.6,48439110204,48,439,110204
3113,3100,2199,50,35,373,0,443,13,1465,1177,37.7,3.5,15.3,5.8,37.6,48439110301,48,439,110301
3512,3416,2725,51,0,199,0,441,96,1884,1323,48.9,5.0,12.4,1.2,32.5,48439110302,48,439,110302
3919,3897,3575,46,0,0,0,276,22,1069,2788,49.9,7.2,17.8,2.0,23.1,48439110401,48,439,110401
3986,3894,3105,160,16,20,0,593,92,2138,1592,34.3,7.2,13.9,3.9,40.7,48439110402,48,439,110402
6832,6788,5733,18,40,36,0,961,44,3172,3538,38.8,7.9,11.5,1.8,40.0,48439110500,48,439,110500
2139,2056,1826,78,0,47,0,105,83,622,1352,48.7,8.7,9.5,3.2,29.9,48439110600,48,439,110600
5666,5623,4991,383,0,147,0,102,43,859,4248,39.6,5.2,18.4,3.1,33.7,48439110701,48,439,110701
4416,4343,3784,178,27,85,0,269,73,1215,2852,43.6,6.7,11.3,4.5,33.8,48439110703,48,439,110703
3826,3752,2922,237,23,168,0,402,74,982,2377,42.7,12.8,16.1,1.6,26.8,48439110704,48,439,110704
5114,4857,4228,438,0,148,0,43,257,849,3459,51.0,4.4,13.9,0.5,30.2,48439110805,48,439,110805
4514,4439,3817,398,52,89,0,83,75,642,3345,58.2,2.8,11.9,0.4,26.7,48439110806,48,439,110806
5632,5255,4332,348,0,243,0,332,377,1416,3214,51.1,4.7,9.6,0.3,34.3,48439110807,48,439,110807
2867,2839,2479,157,13,121,0,69,28,316,2232,74.6,2.8,4.0,0.2,18.4,48439110808,48,439,110808
1821,1798,1710,29,0,49,0,10,23,147,1573,68.4,1.6,10.0,0.5,19.5,48439110809,48,439,110809
3738,3671,3522,46,0,19,0,84,67,354,3252,51.4,7.3,16.3,2.4,22.7,48439110901,48,439,110901
1325,1321,1132,106,10,51,12,10,4,46,1100,52.4,2.9,14.6,0.8,29.3,48439110903,48,439,110903
3848,3731,3613,48,0,24,0,46,117,355,3317,63.8,5.4,11.9,0.4,18.5,48439110905,48,439,110905
3578,3445,3244,98,17,37,0,49,133,483,2886,55.1,7.0,15.1,2.0,20.8,48439110906,48,439,110906
2896,2848,2735,103,0,0,0,10,48,244,2511,59.6,6.6,11.8,0.8,21.2,48439110907,48,439,110907
2360,2264,1763,299,0,65,0,137,96,751,1187,55.1,6.0,11.2,0.6,27.1,48439111003,48,439,111003
7467,7276,3921,2913,41,223,0,178,191,2485,1789,43.4,7.2,17.3,0.9,31.2,48439111005,48,439,111005
7843,7681,5026,2205,28,293,0,129,162,1466,3717,53.1,2.3,9.7,3.1,31.9,48439111008,48,439,111008
2700,2661,2535,86,0,0,0,40,39,406,2187,72.3,7.2,6.8,0.5,13.1,48439111010,48,439,111010
7613,7516,3341,3289,28,500,127,231,97,1795,1885,48.7,2.6,12.3,2.5,33.9,48439111011,48,439,111011
7371,7178,3498,2860,0,243,89,488,193,2367,1619,52.4,2.7,4.8,1.5,38.6,48439111012,48,439,111012
7834,7703,4736,2344,7,291,0,325,131,1968,3127,49.0,1.2,11.2,1.2,37.4,48439111013,48,439,111013
1915,1873,1700,137,0,15,0,21,42,422,1313,54.7,3.9,14.3,0.8,26.4,48439111015,48,439,111015
8309,8055,6939,671,67,232,0,146,254,1185,6025,58.8,4.1,11.8,3.1,22.3,48439111016,48,439,111016
10264,10111,5113,3673,55,1111,0,159,153,1138,4104,59.4,4.1,9.5,0.4,26.5,48439111017,48,439,111017
