S0601_C01_001E,S0601_C01_011E,S0601_C01_012E,S0601_C01_013E,S0601_C01_014E,S0601_C01_015E,S0601_C01_016E,S0601_C01_017E,S0601_C01_018E,S0601_C01_019E,S0601_C01_020E,S0601_C01_021E,S0601_C01_022E,S0601_C01_023E,S0601_C01_024E,S0601_C01_025E,S0601_C01_026E,S0601_C01_027E,S0601_C01_028E,S0601_C01_034E,S0601_C01_035E,S0601_C01_036E,S0601_C01_037E,S0601_C01_038E,S0601_C01_039E,S0601_C01_040E,S0601_C01_041E,S0601_C01_042E,S0601_C01_043E,S0601_C01_044E,S0601_C01_045E,S0601_C01_046E,S0601_C01_047E,S0601_C01_048E,FIPS,STATEFP,COUNTYFP,TRACTCE
4938,46.4,53.6,99.5,78.9,19.0,0.0,0.7,0.0,0.9,0.5,31.5,48.7,4790,28.4,17.7,10.7,4121,27.6,29.6,30.4,8.5,6.1,4121,8.3,11.4,21.8,19.1,6.1,8.3,3.5,2.8,24614,4628,48005000400,48,005,000400
3973,44.4,55.6,97.4,30.9,65.8,0.0,0.0,0.0,0.6,2.6,17.2,14.3,3684,15.4,8.1,7.4,3048,39.6,37.5,29.6,3.7,1.9,3048,20.7,15.1,22.0,10.9,7.4,4.3,1.5,2.4,19011,3961,48005000500,48,005,000500
6674,49.4,50.6,99.4,65.7,27.8,0.0,2.0,0.0,3.9,0.6,50.5,19.3,6237,45.9,31.6,14.2,4767,33.3,37.5,30.5,5.7,1.5,4767,23.0,9.9,21.6,15.4,8.6,2.6,1.0,2.6,18577,6286,48005000600,48,005,000600
3834,52.7,47.3,95.8,65.5,22.6,0.7,0.5,0.0,6.5,4.2,53.8,19.6,3410,43.3,21.3,21.9,2771,40.8,23.7,32.6,6.1,3.5,2771,30.3,10.4,22.6,12.3,5.4,4.4,0.5,1.0,15747,3806,48005000700,48,005,000700
5933,48.2,51.8,98.3,84.4,8.6,3.0,0.1,0.0,2.2,1.7,23.0,66.3,5448,16.7,10.4,6.3,4715,27.4,26.9,40.1,15.0,4.8,4715,12.1,9.2,18.2,14.5,15.2,9.5,4.3,4.2,27400,5933,48005000800,48,005,000800
6377,46.2,53.8,95.1,71.7,19.2,0.0,3.1,0.0,1.2,4.9,18.6,53.8,5895,14.5,10.6,3.9,5113,28.8,21.0,30.1,24.1,14.4,5113,13.1,5.1,15.9,9.8,12.2,12.8,5.0,12.6,32249,6299,48005000901,48,005,000901
3704,44.4,55.6,97.8,74.3,13.0,0.0,9.6,0.1,0.8,2.2,16.0,60.1,3502,15.4,10.6,4.9,3216,28.9,17.2,27.4,25.9,19.4,3216,19.1,5.0,9.3,13.8,7.7,11.4,5.2,15.0,31039,3487,48005000902,48,005,000902
4886,57.3,42.7,98.5,66.9,17.5,0.3,0.0,0.0,13.9,1.5,44.2,37.4,4631,41.2,24.3,17.0,4038,29.1,34.7,26.5,7.5,1.2,4038,18.4,5.4,13.7,8.6,8.8,4.5,0.8,2.9,18920,3787,48005001001,48,005,001001
4031,52.2,47.8,97.8,82.0,13.0,0.0,0.8,0.0,1.9,2.2,27.0,56.9,3646,22.8,17.4,5.3,3058,26.2,31.7,35.3,12.8,6.4,3058,18.1,7.6,17.0,12.6,13.0,8.7,4.3,4.3,25135,3956,48005001002,48,005,001002
6716,47.9,52.1,99.3,95.0,2.7,0.0,1.1,0.0,0.5,0.7,5.7,90.2,6341,4.1,2.0,2.1,5479,24.9,36.3,34.6,7.7,2.4,5479,17.6,7.1,18.6,9.0,13.9,7.6,2.1,12.3,25513,6610,48005001100,48,005,001100
2400,47.9,52.1,96.9,95.6,1.0,0.0,0.2,0.0,0.0,3.1,0.7,94.9,2266,7.4,7.1,0.3,1973,18.3,44.6,33.9,7.0,1.2,1973,25.1,7.4,15.0,16.3,8.2,6.7,2.1,8.1,22132,2400,48005001200,48,005,001200
5566,44.6,55.4,98.1,95.5,2.0,0.1,0.0,0.0,0.6,1.9,3.8,92.2,5063,1.6,1.2,0.5,4320,20.6,39.9,35.1,5.3,2.5,4320,18.9,13.6,15.2,12.8,9.4,6.5,1.4,5.9,19270,5468,48005001300,48,005,001300
5333,41.3,58.7,95.0,89.0,0.3,0.1,4.7,0.0,1.0,5.0,14.0,80.1,5047,7.5,4.0,3.5,4711,18.7,27.8,35.1,15.6,10.6,4711,18.5,11.3,20.1,13.9,11.5,7.4,2.3,8.9,23777,5321,48007950100,48,007,950100
1085,53.4,46.6,93.3,93.1,0.0,0.2,0.0,0.0,0.0,6.7,14.8,84.3,1019,5.9,5.4,0.5,1013,21.4,15.4,38.6,24.9,20.6,1013,14.9,4.6,14.1,6.5,15.8,9.7,2.8,26.9,39347,1085,48007950200,48,007,950200
7598,51.7,48.3,98.0,96.5,0.5,0.0,0.0,0.0,1.0,2.0,40.6,56.9,7208,32.7,20.2,12.5,6695,17.1,30.5,24.9,15.3,11.7,6695,25.5,12.8,16.3,9.2,7.9,5.0,1.2,13.6,19491,7312,48007950300,48,007,950300
4573,46.0,54.0,96.9,81.8,6.2,1.0,5.3,0.0,2.6,3.1,40.0,48.0,4428,29.5,15.9,13.6,3417,27.4,36.0,28.8,10.3,2.7,3417,24.0,9.1,16.4,12.2,13.5,3.9,2.5,4.4,19978,4486,48007950400,48,007,950400
5873,52.5,47.5,94.1,90.0,0.3,0.0,0.0,0.0,3.7,5.9,15.3,81.4,5624,9.6,9.3,0.3,4941,20.7,35.7,36.2,8.9,2.8,4941,22.0,10.6,15.7,8.2,9.0,7.5,3.6,8.2,21644,5866,48007950500,48,007,950500
0,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,0,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0,48007990000,48,007,990000
2939,51.1,48.9,98.1,96.7,0.3,0.4,0.5,0.0,0.2,1.9,2.4,95.0,2770,2.8,2.2,0.6,2454,14.3,26.3,39.1,19.6,11.1,2454,12.2,7.8,7.1,14.6,15.7,11.8,5.3,17.6,38726,2939,48009020100,48,009,020100
2323,49.5,50.5,96.1,95.0,0.0,1.1,0.0,0.0,0.0,3.9,2.7,92.8,2228,1.0,1.0,0.0,1966,23.1,37.7,30.3,10.3,6.7,1966,9.5,12.8,17.8,14.0,12.7,8.9,2.7,10.6,28281,2322,48009020200,48,009,020200
3454,49.0,51.0,99.5,94.6,2.1,1.7,0.0,0.0,1.0,0.5,17.0,79.7,3262,11.4,3.0,8.4,2794,27.7,42.6,23.7,17.2,5.1,2794,13.5,8.7,14.6,10.2,13.5,8.8,4.4,12.3,30640,3386,48009020300,48,009,020300
