S1501_C01_001E,S1501_C01_002E,S1501_C01_003E,S1501_C01_004E,S1501_C01_005E,S1501_C01_006E,S1501_C01_007E,S1501_C01_008E,S1501_C01_009E,S1501_C01_010E,S1501_C01_011E,S1501_C01_012E,S1501_C01_013E,S1501_C01_014E,FIPS,STATEFP,COUNTYFP,TRACTCE
356,41,86,221,8,2012,71,127,890,386,148,249,141,1814,48201323702,48,201,323702
384,23,157,204,0,2329,272,399,788,509,150,138,73,1658,48201323801,48,201,323801
433,124,173,136,0,2880,496,368,955,506,202,263,90,2016,48201323802,48,201,323802
267,94,113,60,0,2587,350,336,1079,445,151,134,92,1901,48201323900,48,201,323900
446,235,53,109,49,3738,237,371,1350,915,277,351,237,3130,48201324000,48,201,324000
431,101,171,159,0,3119,719,539,947,500,123,274,17,1861,48201324100,48,201,324100
64,4,39,12,9,743,252,92,263,67,22,47,0,399,48201324200,48,201,324200
1301,209,374,619,99,5329,282,683,2072,1638,213,371,70,4364,48201330100,48,201,330100
519,160,154,176,29,2790,423,347,1063,334,158,337,128,2020,48201330200,48,201,330200
1133,236,285,567,45,5181,1172,588,1536,897,285,477,226,3421,48201330301,48,201,330301
821,110,310,383,18,3809,967,409,1345,492,124,318,154,2433,48201330302,48,201,330302
434,105,208,92,29,2805,345,364,764,528,209,308,287,2096,48201330303,48,201,330303
532,76,181,256,19,2974,435,498,1105,438,222,191,85,2041,48201330400,48,201,330400
587,9,407,138,33,3014,557,417,1031,690,68,230,21,2040,48201330500,48,201,330500
651,175,157,307,12,4707,559,727,1770,1135,147,278,91,3421,48201330600,48,201,330600
701,105,370,212,14,5706,1048,974,1556,914,261,599,354,3684,48201330700,48,201,330700
1168,43,345,742,38,8318,469,613,1733,2481,830,1238,954,7236,48201330800,48,201,330800
833,89,256,420,68,8316,476,634,1887,1901,696,1564,1158,7206,48201330900,48,201,330900
487,90,167,212,18,2638,342,492,865,607,206,108,18,1804,48201331100,48,201,331100
241,56,80,105,0,1922,127,148,543,877,38,137,52,1647,48201331200,48,201,331200
810,194,416,200,0,3440,148,330,1252,914,163,551,82,2962,48201331300,48,201,331300
242,120,26,96,0,1444,65,323,672,246,53,66,19,1056,48201331400,48,201,331400
880,163,263,342,112,6721,220,535,2304,2156,481,678,347,5966,48201331500,48,201,331500
560,125,73,362,0,4843,256,217,1839,1363,206,611,351,4370,48201331601,48,201,331601
183,18,108,51,6,1206,28,59,450,300,83,172,114,1119,48201331602,48,201,331602
299,61,182,46,10,2839,217,506,776,957,139,103,141,2116,48201331700,48,201,331700
432,53,277,102,0,2330,152,296,868,725,142,132,15,1882,48201331800,48,201,331800
455,121,180,140,14,2522,223,360,787,733,99,221,99,1939,48201331900,48,201,331900
574,198,189,159,28,3482,436,434,1503,597,220,222,70,2612,48201332000,48,201,332000
454,71,218,156,9,1959,474,391,692,195,74,133,0,1094,48201332100,48,201,332100
386,158,101,127,0,3150,493,578,915,785,71,246,62,2079,48201332200,48,201,332200
317,80,94,135,8,2163,364,294,791,431,116,106,61,1505,48201332300,48,201,332300
365,124,44,182,15,2919,190,375,1299,815,100,118,22,2354,48201332400,48,201,332400
227,109,24,94,0,2153,317,237,733,501,76,175,114,1599,48201332500,48,201,332500
700,22,291,360,27,4368,737,475,1439,684,380,524,129,3156,48201332600,48,201,332600
352,45,215,82,10,1577,599,231,409,183,73,66,16,747,48201332700,48,201,332700
603,196,224,168,15,2844,1069,472,738,376,87,64,38,1303,48201332800,48,201,332800
582,127,174,253,28,2816,917,467,855,339,76,135,27,1432,48201332900,48,201,332900
462,122,137,203,0,2408,885,328,557,298,101,162,77,1195,48201333000,48,201,333000
586,127,197,262,0,2652,515,297,709,424,79,309,319,1840,48201333100,48,201,333100
637,60,211,280,86,2948,728,379,957,605,30,177,72,1841,48201333201,48,201,333201
582,226,166,174,16,3598,433,509,1486,648,166,256,100,2656,48201333202,48,201,333202
1387,367,529,450,41,5882,1470,866,1930,1087,113,372,44,3546,48201333300,48,201,333300
635,401,113,121,0,3536,976,426,1047,603,104,328,52,2134,48201333500,48,201,333500
248,57,86,105,0,2890,484,350,721,573,184,269,309,2056,48201333600,48,201,333600
312,20,139,146,7,2122,664,338,631,331,64,69,25,1120,48201333700,48,201,333700
1140,166,380,516,78,6926,1362,773,2269,1590,410,357,165,4791,48201333800,48,201,333800
1281,97,411,659,114,5858,645,755,1677,1001,434,1021,325,4458,48201333901,48,201,333901
1323,52,449,545,277,5742,371,743,1599,1753,494,674,108,4628,48201333902,48,201,333902
421,80,145,196,0,2149,248,211,711,519,231,192,37,1690,48201334001,48,201,334001
425,19,84,287,35,1599,43,107,280,457,139,336,237,1449,48201334002,48,201,334002
639,116,208,315,0,4534,414,320,1832,961,265,601,141,3800,48201334003,48,201,334003
1845,141,320,888,496,9047,954,1043,1160,1450,452,1974,2014,7050,48201334100,48,201,334100
823,166,318,335,4,4117,316,415,1149,910,303,644,380,3386,48201340100,48,201,340100
130,15,19,57,39,1068,22,23,125,183,91,400,224,1023,48201340201,48,201,340201
379,16,81,199,83,3553,90,89,299,383,351,1456,885,3374,48201340202,48,201,340202
183,30,59,52,42,3062,0,37,366,366,182,1204,907,3025,48201340203,48,201,340203
179,53,75,33,18,2839,40,27,146,214,117,1252,1043,2772,48201340301,48,201,340301
347,68,104,97,78,4658,137,182,318,611,329,1519,1562,4339,48201340302,48,201,340302
30,8,0,22,0,1051,0,5,64,157,59,491,275,1046,48201340400,48,201,340400
594,111,175,196,112,4275,381,293,808,961,455,977,400,3601,48201340500,48,201,340500
158,17,49,66,26,1873,0,39,316,362,149,719,288,1834,48201340600,48,201,340600
681,212,98,346,25,4797,111,203,1047,1230,379,1049,778,4483,48201340700,48,201,340700
